file_name,duration_s,reference,prediction,wer,latency_ms,cer
6930-75918-0000.wav,3.5,concord returned to its place amidst the tents,concord returned to its place amidst the tents.,0.125,917.13,0.0217
6930-75918-0007.wav,3.31,you will be frank with me i always am,you will be frank with me. i always am,0.1111,685.63,0.027
6930-75918-0006.wav,5.85,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,"this has indeed been a harassing day, continued the young man his eyes fixed upon his friend.",0.1176,1081.64,0.022
6930-75918-0005.wav,13.16,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,"the count had thrown himself back on his seat, leaning his shoulders against the partition of the tent and remained thus. his face buried in his hands with heaving chest and restless limbs.",0.0909,1685.14,0.0161
6930-75918-0004.wav,11.06,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,"she taught her daughter, then, by her own affection for it, that love for a country where they had both been hospitably received and where a brilliant future opened for them.",0.1613,1644.24,0.0405
6930-75918-0002.wav,5.03,congratulations were poured in upon the princess everywhere during her journey,"congratulations, report in upon the princess everywhere, during her journey.",0.4545,1293.15,0.1154
6930-75918-0011.wav,3.19,i am convinced of what i say said the count,"i am convinced of what i say, said the count.",0.2,1367.62,0.0465
6930-75918-0015.wav,6.38,thus it is that the honor of three is saved our country's our master's and our own,"thus, it is that the honor of three is saved, our country, our masters, and our own.",0.2941,2144.59,0.0854
6930-75918-0003.wav,23.32,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,"from the respect paid her on all sides, she seemed like a queen, and from the adoration with which she was treated by two or three, she appeared in object of worship. the queen mother gave the french the most affectionate reception. france was her native country, and she has suffered too much unhappiness in england for england to have made her forget france.",0.1406,6019.12,0.0255
6930-75918-0010.wav,3.04,i can perceive love clearly enough,i can perceive love clearly enough.,0.1667,841.59,0.0294
6930-75918-0001.wav,14.22,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,"the english forwarded to the french baskets of flowers, of which they had made a plantable provision to greet the arrival of the young princess. the french in return invited the english to a supper, which was to be given the next day.",0.1163,2179.2,0.0391
6930-75918-0018.wav,10.81,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,"the night was clear, starlet and splendid. the tempest had passed away and the sweet influences of the evening had restored life, peace and security everywhere.",0.1923,1637.41,0.0321
6930-75918-0008.wav,4.79,can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent? i suspect,0.0909,910.98,0.0167
6930-75918-0017.wav,6.16,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,"but in this friendly pressure, rao could detect the nervous agitation of a great internal conflict.",0.1875,1466.47,0.0404
6930-75918-0016.wav,10.02,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,"yes, i need repose. many things have agitated me today, both in mind and body. when you return tomorrow, i shall no longer be the same man.",0.2759,3068.42,0.0593
6930-75918-0013.wav,2.94,in those very terms i even added more,"in those very terms, i even had it more.",0.5,1274.67,0.1622
6930-75918-0019.wav,11.65,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,"upon the large square in front of the hotel, the shadows of the tents intersected by the golden moon beams formed as it were a huge mosaic of jet and yellow flagstones.",0.129,2813.92,0.0182
6930-75918-0014.wav,16.84,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,"but, continued rao, not interrupted by this movement of his friend, heaven be praised, the french who are pronounced to be thoughtless and indiscreet, reckless, even are capable of bringing a calm and sound judgment to bear on matters of such high importance.",0.1628,2713.94,0.0315
6930-75918-0009.wav,7.28,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,"it is you who are mistaken, rao. i have read his distress in his eyes in his every gesture and action the whole day.",0.125,1569.85,0.0348
6930-75918-0020.wav,14.4,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,breggelon watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as empirically as though he was wearing his blue and gold instead of his violet suit.,0.0789,2556.36,0.0472
